date,hkd_to_cny,cny_to_hkd
2026/1/1,0.8825 ,1.1331 
2026/1/2,0.8825 ,1.1331 
2026/1/3,0.8830 ,1.1325 
2026/1/4,0.8832 ,1.1322 
2026/1/5,0.8835 ,1.1318 
2026/1/6,0.8838 ,1.1315 
2026/1/7,0.8840 ,1.1312 
2026/1/8,0.8840 ,1.1312 
2026/1/9,0.8840 ,1.1312 
2026/1/10,0.8838 ,1.1315 
2026/1/11,0.8835 ,1.1318 
2026/1/12,0.8832 ,1.1322 
2026/1/13,0.8828 ,1.1328 
2026/1/14,0.8825 ,1.1331 
2026/1/15,0.8822 ,1.1335 
2026/1/16,0.8818 ,1.1340 
2026/1/17,0.8802 ,1.1361 
2026/1/18,0.8810 ,1.1351 
2026/1/19,0.8815 ,1.1344 
2026/1/20,0.8818 ,1.1340 
2026/1/21,0.8818 ,1.1340 
2026/1/22,0.8818 ,1.1340 
2026/1/23,0.8820 ,1.1338 
2026/1/24,0.8822 ,1.1335 
2026/1/25,0.8825 ,1.1331 
2026/1/26,0.8828 ,1.1328 
2026/1/27,0.8830 ,1.1325 
2026/1/28,0.8830 ,1.1325 
2026/1/29,0.8830 ,1.1325 
2026/1/30,0.8828 ,1.1328 
2026/1/31,0.8825 ,1.1331 
2026/2/1,0.8822 ,1.1335 
2026/2/2,0.8818 ,1.1340 
2026/2/3,0.8815 ,1.1344 
2026/2/4,0.8810 ,1.1351 
2026/2/5,0.8810 ,1.1351 
2026/2/6,0.8810 ,1.1351 
2026/2/7,0.8808 ,1.1353 
2026/2/8,0.8805 ,1.1357 
2026/2/9,0.8802 ,1.1361 
2026/2/10,0.8798 ,1.1366 
2026/2/11,0.8795 ,1.1370 
2026/2/12,0.8792 ,1.1374 
2026/2/13,0.8790 ,1.1377 
2026/2/14,0.8790 ,1.1377 
2026/2/15,0.8790 ,1.1377 
2026/2/16,0.8792 ,1.1374 
2026/2/17,0.8795 ,1.1370 
2026/2/18,0.8798 ,1.1366 
2026/2/19,0.8800 ,1.1364 
2026/2/20,0.8802 ,1.1361 
2026/2/21,0.8805 ,1.1357 
2026/2/22,0.8808 ,1.1353 
2026/2/23,0.8810 ,1.1351 
2026/2/24,0.8812 ,1.1348 
2026/2/25,0.8815 ,1.1344 
2026/2/26,0.8787 ,1.1380 
2026/2/27,0.8818 ,1.1340 
2026/2/28,0.8820 ,1.1338 
2026/3/1,0.8822 ,1.1335 
2026/3/2,0.8801 ,1.1362 
2026/3/3,0.8842 ,1.1310 
2026/3/4,0.8824 ,1.1333 
2026/3/5,0.8814 ,1.1346 
2026/3/6,0.8819 ,1.1339 
2026/3/7,0.8820 ,1.1338 
2026/3/8,0.8820 ,1.1338 
2026/3/9,0.8833 ,1.1321 
2026/3/10,0.8791 ,1.1375 
2026/3/11,0.8776 ,1.1395 
2026/3/12,0.8777 ,1.1393 
2026/3/13,0.8812 ,1.1348 
2026/3/14,0.8815 ,1.1344 
2026/3/15,0.8818 ,1.1340 
2026/3/16,0.8808 ,1.1353 
2026/3/17,0.8789 ,1.1378 
2026/3/18,0.8770 ,1.1403 
2026/3/19,0.8810 ,1.1351 
2026/3/20,0.8794 ,1.1371 
2026/3/21,0.8790 ,1.1377 
2026/3/22,0.8790 ,1.1377 
2026/3/23,0.8785 ,1.1383 
2026/3/24,0.8808 ,1.1353 
2026/3/25,0.8829 ,1.1326 
2026/3/26,0.8834 ,1.1320 
2026/3/27,0.8830 ,1.1325 
2026/3/28,0.8830 ,1.1325 
2026/3/29,0.8830 ,1.1325 
2026/3/30,0.8832 ,1.1322 
2026/3/31,0.8835 ,1.1318 
